( BLOC_DEB, @PROG )
( OPERATEUR_COMPARAISON, <> )
( OPERATEUR_COMPARAISON, <= )
( OPERATEUR_COMPARAISON, == )
( BOUCLE_CONTINUE, FOR )
( DELIMITEUR, ( )
( IDENTIFIANT, %1 )
( ENTIER, 0 )
( DELIMITEUR, ; )
( IDENTIFIANT, %1 )
( OPERATEUR_COMPARAISON, < )
( ENTIER, 10 )
( DELIMITEUR, ; )
( IDENTIFIANT, %1 )
( OPERATEUR_INCREMENT, ++ )
( DELIMITEUR, ) )
( IDENTIFIANT, %1 )
( OPERATEUR_AFFECTATION, := )
( IDENTIFIANT, %1 )
( OPERATEUR_ARITHMETIQUE, ADD )
( ENTIER, 1 )
( DELIMITEUR, ; )
( CONDITION, IF )
( DELIMITEUR, ( )
( IDENTIFIANT, %1 )
( OPERATEUR_COMPARAISON, >= )
( REEL, 10.2 )
( DELIMITEUR, ) )
( MOT_CLE, THEN )
( IDENTIFIANT, %1 )
( OPERATEUR_AFFECTATION, := )
( IDENTIFIANT, %1 )
( OPERATEUR_ARITHMETIQUE, SOUS )
( ENTIER, 10 )
( DELIMITEUR, ; )
( BLOC_FIN, CORPS@ )
( BLOC_FIN, PROG@ )
